gene_id	gene_name	npeaks_ve	npeaks_tx	npeaks_diff	fpmk_48h	fpmk_con	fpmk_diff
ENSG00000183495	EP400	15	0	15	5.92	11.66	5.74
ENSG00000099331	MYO9B	15	0	15	14.4	19.22	4.82
ENSG00000125912	NCLN	15	0	15	21.26	56.43	35.17
ENSG00000198089	SFI1	15	0	15	9.29	14.22	4.93
ENSG00000078900	TP73	21	7	14	2.97	3.58	0.61
ENSG00000105662	CRTC1	21	7	14	15.65	22.26	6.61
ENSG00000103197	TSC2	20	6	14	48.83	62.44	13.61
ENSG00000079805	DNM2	20	6	14	104.51	110.24	5.72999999999999
ENSG00000233806	LINC01237	19	5	14	0.33	1	0.67
ENSG00000197077	KIAA1671	19	5	14	14.02	17.41	3.39
ENSG00000144711	IQSEC1	19	5	14	6.96	13.36	6.4
ENSG00000151474	FRMD4A	18	4	14	2.53	4.28	1.75
ENSG00000188064	WNT7B	18	4	14	9.29	16.22	6.93
ENSG00000156802	ATAD2	18	4	14	19.88	54.46	34.58
ENSG00000059145	UNKL	16	2	14	29.51	31.62	2.11
ENSG00000140694	PARN	16	2	14	17.99	24.76	6.77
ENSG00000104687	GSR	16	2	14	110.69	121.01	10.32
ENSG00000256500	AL139300.1	15	1	14	4.06	4.78	0.720000000000001
ENSG00000181031	RPH3AL	15	1	14	6.26	7.52	1.26
ENSG00000120093	HOXB3	15	1	14	0.85	1.2	0.35
ENSG00000105329	TGFB1	15	1	14	0.03	0.2	0.17
ENSG00000196642	RABL6	15	1	14	44.86	56.84	11.98
ENSG00000142875	PRKACB	14	0	14	70.2	144.83	74.63
ENSG00000285053	TBCE	14	0	14	3.04	4.29	1.25
ENSG00000215182	MUC5AC	14	0	14	0.41	1.01	0.6
ENSG00000285283	AL035078.4	14	0	14	10.65	17.41	6.76
ENSG00000100726	TELO2	14	0	14	8.03	25.54	17.51
ENSG00000284512	AC092718.8	14	0	14	0.34	1.27	0.93
ENSG00000068878	PSME4	14	0	14	17.4	26.64	9.24
ENSG00000078070	MCCC1	14	0	14	20.35	24.45	4.1
ENSG00000145734	BDP1	14	0	14	13.1	25.67	12.57
ENSG00000249319	AC068533.4	14	0	14	1.76	6.44	4.68
ENSG00000113719	ERGIC1	24	11	13	230.11	250.7	20.59
ENSG00000253438	PCAT1	22	9	13	2.85	5.87	3.02
ENSG00000142208	AKT1	19	6	13	89.85	119.89	30.04
ENSG00000071626	DAZAP1	19	6	13	134	157.53	23.53
ENSG00000100239	PPP6R2	19	6	13	14.13	21.01	6.88
ENSG00000189337	KAZN	17	4	13	1.49	2.42	0.93
ENSG00000139220	PPFIA2	17	4	13	29.03	49.85	20.82
ENSG00000100997	ABHD12	16	3	13	32.16	33.43	1.27
ENSG00000153395	LPCAT1	16	3	13	6.3	19.46	13.16
ENSG00000124789	NUP153	16	3	13	20.83	23.04	2.21
ENSG00000164818	DNAAF5	16	3	13	16.43	30.63	14.2
ENSG00000157214	STEAP2	16	3	13	25.68	117.02	91.34
ENSG00000136944	LMX1B	16	3	13	0.57	1.36	0.79
ENSG00000141027	NCOR1	15	2	13	31.42	35.03	3.61
ENSG00000141956	PRDM15	15	2	13	3.42	4.64	1.22
ENSG00000197558	SSPO	15	2	13	2.52	2.91	0.39
ENSG00000285130	AL358113.1	15	2	13	1.63	3.37	1.74
ENSG00000148396	SEC16A	15	2	13	30.74	42.41	11.67
ENSG00000142606	MMEL1	14	1	13	23.25	28.05	4.8
ENSG00000183092	BEGAIN	14	1	13	0.31	0.89	0.58
ENSG00000154654	NCAM2	14	1	13	43.48	60.3	16.82
ENSG00000174469	CNTNAP2	14	1	13	1.1	2.17	1.07
ENSG00000158321	AUTS2	14	1	13	1.95	5.65	3.7
ENSG00000054267	ARID4B	13	0	13	5.1	7.08	1.98
ENSG00000117983	MUC5B	13	0	13	0.02	0.23	0.21
ENSG00000150967	ABCB9	13	0	13	3	3.22	0.22
ENSG00000187535	IFT140	13	0	13	3.65	4.74	1.09
ENSG00000171298	GAA	13	0	13	41.48	51.1	9.62
ENSG00000125741	OPA3	13	0	13	2.57	3.82	1.25
ENSG00000105429	MEGF8	13	0	13	2.05	4.83	2.78
ENSG00000063660	GPC1	13	0	13	13.87	16.16	2.29
ENSG00000115840	SLC25A12	13	0	13	5.98	8.54	2.56
ENSG00000026036	RTEL1-TNFRSF6B	13	0	13	0.82	1.81	0.99
ENSG00000184470	TXNRD2	13	0	13	25.39	33.02	7.63
ENSG00000100346	CACNA1I	13	0	13	0.04	0.09	0.05
ENSG00000151726	ACSL1	13	0	13	84.11	87.94	3.83
ENSG00000254221	PCDHGB1	13	0	13	0.03	0.14	0.11
ENSG00000113368	LMNB1	13	0	13	34.4	72.15	37.75
ENSG00000270800	RPS10-NUDT3	13	0	13	17.82	19.74	1.92
ENSG00000196367	TRRAP	13	0	13	10.92	16.29	5.37
ENSG00000158169	FANCC	13	0	13	5.66	9.74	4.08
ENSG00000113645	WWC1	21	9	12	42.83	49.78	6.95
ENSG00000132359	RAP1GAP2	20	8	12	20.48	28.4	7.92
ENSG00000162804	SNED1	20	8	12	2.26	4.71	2.45
ENSG00000132388	UBE2G1	18	6	12	38.12	40.22	2.1
ENSG00000162341	TPCN2	17	5	12	1.18	3.98	2.8
ENSG00000214063	TSPAN4	17	5	12	10.54	17.66	7.12
ENSG00000144218	AFF3	17	5	12	14.37	17.44	3.07
ENSG00000038382	TRIO	17	5	12	9.2	15.17	5.97
ENSG00000196586	MYO6	17	5	12	25.37	46.99	21.62
ENSG00000112379	ARFGEF3	17	5	12	23.78	29.42	5.64
ENSG00000150347	ARID5B	16	4	12	6.98	11.84	4.86
ENSG00000204634	TBC1D8	16	4	12	8.8	14.7	5.9
ENSG00000243156	MICAL3	16	4	12	12.87	21.18	8.31
ENSG00000145214	DGKQ	16	4	12	7.42	11.08	3.66
ENSG00000063438	AHRR	16	4	12	0.16	0.83	0.67
ENSG00000152818	UTRN	16	4	12	14.26	33.71	19.45
ENSG00000163050	COQ8A	15	3	12	37.1	42.51	5.41
ENSG00000071205	ARHGAP10	15	3	12	3.41	7.3	3.89
ENSG00000139722	VPS37B	14	2	12	32.9	41.02	8.12
ENSG00000104154	SLC30A4	14	2	12	16.48	35.15	18.67
ENSG00000188897	AC099489.1	14	2	12	0.13	0.22	0.09
ENSG00000197879	MYO1C	14	2	12	89.34	92.59	3.25
ENSG00000266714	MYO15B	14	2	12	5.57	12.28	6.71
ENSG00000227392	HPN-AS1	14	2	12	0.57	1.51	0.94
ENSG00000119771	KLHL29	14	2	12	3.32	3.91	0.59
ENSG00000108001	EBF3	13	1	12	0.56	1.57	1.01
ENSG00000245532	NEAT1	13	1	12	61.57	74.74	13.17
ENSG00000167971	CASKIN1	13	1	12	0.67	0.85	0.18
ENSG00000065054	SLC9A3R2	13	1	12	53.29	91.41	38.12
ENSG00000166780	BMERB1	13	1	12	1.3	1.78	0.48
ENSG00000102910	LONP2	13	1	12	25.54	26.05	0.510000000000002
ENSG00000007541	PIGQ	13	1	12	20.26	21.45	1.19
ENSG00000167693	NXN	13	1	12	11.17	11.43	0.26
ENSG00000204217	BMPR2	13	1	12	7.23	12.03	4.8
ENSG00000198648	STK39	13	1	12	48.13	95.31	47.18
ENSG00000163939	PBRM1	13	1	12	15.91	16.92	1.01
ENSG00000127418	FGFRL1	13	1	12	72.73	96.77	24.04
ENSG00000109654	TRIM2	13	1	12	3.68	4.13	0.45
ENSG00000127022	CANX	13	1	12	194.07	228.01	33.94
ENSG00000233621	LINC01137	12	0	12	0.72	1.86	1.14
ENSG00000078808	SDF4	12	0	12	86.48	89.58	3.09999999999999
ENSG00000067057	PFKP	12	0	12	36.06	71.8	35.74
ENSG00000184956	MUC6	12	0	12	0.68	0.85	0.17
ENSG00000130787	HIP1R	12	0	12	9.36	12.8	3.44
ENSG00000196663	TECPR2	12	0	12	1.28	3.81	2.53
ENSG00000166183	ASPG	12	0	12	0.02	0.11	0.09
ENSG00000167880	EVPL	12	0	12	14.12	16.55	2.43
ENSG00000258366	RTEL1	12	0	12	3.66	10.11	6.45
ENSG00000251322	SHANK3	12	0	12	2.87	3.55	0.68
ENSG00000174137	FAM53A	12	0	12	1.17	2.28	1.11
ENSG00000153404	PLEKHG4B	12	0	12	0.07	0.14	0.07
ENSG00000133401	PDZD2	12	0	12	0.1	0.64	0.54
ENSG00000253910	PCDHGB2	12	0	12	0.12	0.35	0.23
ENSG00000112624	BICRAL	12	0	12	9.16	9.31	0.15
ENSG00000106012	IQCE	12	0	12	11.57	13.68	2.11
ENSG00000136813	ECPAS	12	0	12	43.06	56.98	13.92
ENSG00000198753	PLXNB3	12	0	12	25.01	40.91	15.9
ENSG00000102309	PIN4	12	0	12	18.15	20.12	1.97
ENSG00000129521	EGLN3	17	6	11	1.07	7.62	6.55
ENSG00000074054	CLASP1	16	5	11	4.29	7.34	3.05
ENSG00000113763	UNC5A	16	5	11	4.94	8.55	3.61
ENSG00000241058	NSUN6	15	4	11	2.73	9.26	6.53
ENSG00000170473	PYM1	15	4	11	27.22	36.3	9.08
ENSG00000005810	MYCBP2	15	4	11	20.82	40.09	19.27
ENSG00000162105	SHANK2	14	3	11	9.6	10.12	0.52
ENSG00000153531	ADPRHL1	14	3	11	8.19	11.54	3.35
ENSG00000119685	TTLL5	14	3	11	19.49	27.87	8.38
ENSG00000196220	SRGAP3	14	3	11	2.63	3.06	0.43
ENSG00000112699	GMDS	14	3	11	22.57	23.92	1.35
ENSG00000064393	HIPK2	14	3	11	27.37	28.35	0.98
ENSG00000162599	NFIA	13	2	11	16.2	19.18	2.98
ENSG00000187634	SAMD11	13	2	11	6.29	6.96	0.67
ENSG00000198105	ZNF248	13	2	11	2.81	7.74	4.93
ENSG00000171219	CDC42BPG	13	2	11	16.58	22.75	6.17
ENSG00000182185	RAD51B	13	2	11	6.6	6.77	0.17
ENSG00000179889	PDXDC1	13	2	11	31.64	37.64	6
ENSG00000074416	MGLL	13	2	11	9.53	17.23	7.7
ENSG00000111846	GCNT2	13	2	11	1.26	3.25	1.99
ENSG00000124721	DNAH8	13	2	11	0.05	0.44	0.39
ENSG00000189056	RELN	13	2	11	0.02	0.14	0.12
ENSG00000104626	ERI1	13	2	11	7.38	8.72	1.34
ENSG00000168575	SLC20A2	13	2	11	9.38	12	2.62
ENSG00000148120	AOPEP	13	2	11	1.21	2.18	0.97
ENSG00000086015	MAST2	12	1	11	11.04	19.51	8.47
ENSG00000070047	PHRF1	12	1	11	12.77	14.25	1.48
ENSG00000198788	MUC2	12	1	11	0.25	0.4	0.15
ENSG00000110651	CD81	12	1	11	127.42	137.33	9.91000000000001
ENSG00000131323	TRAF3	12	1	11	5.15	10.08	4.93
ENSG00000137877	SPTBN5	12	1	11	3	3.95	0.95
ENSG00000129910	CDH15	12	1	11	0.85	1.36	0.51
ENSG00000133030	MPRIP	12	1	11	81.75	85.75	4
ENSG00000154065	ANKRD29	12	1	11	17.43	18.95	1.52
ENSG00000131398	KCNC3	12	1	11	1.38	5.3	3.92
ENSG00000144366	GULP1	12	1	11	48.04	134.92	86.88
ENSG00000142185	TRPM2	12	1	11	9.67	18.69	9.02
ENSG00000185651	UBE2L3	12	1	11	43.02	43.8	0.779999999999994
ENSG00000243176	AC092944.1	12	1	11	0.52	0.54	0.02
ENSG00000163947	ARHGEF3	12	1	11	1.06	1.19	0.13
ENSG00000133256	PDE6B	12	1	11	0.41	1.29	0.88
ENSG00000174473	GALNTL6	12	1	11	0.03	0.49	0.46
ENSG00000037280	FLT4	12	1	11	0.87	2.41	1.54
ENSG00000091127	PUS7	12	1	11	3.71	15.55	11.84
ENSG00000075891	PAX2	11	0	11	0.08	0.11	0.03
ENSG00000130640	TUBGCP2	11	0	11	20.79	24.59	3.8
ENSG00000148814	LRRC27	11	0	11	4.78	8.1	3.32
ENSG00000185101	ANO9	11	0	11	0.42	1.28	0.86
ENSG00000111452	ADGRD1	11	0	11	1.4	2.53	1.13
ENSG00000170919	TPT1-AS1	11	0	11	4.06	5.56	1.5
ENSG00000118898	PPL	11	0	11	2.96	4.45	1.49
ENSG00000260643	AC092718.3	11	0	11	4.57	6.63	2.06
ENSG00000185359	HGS	11	0	11	71.32	74.88	3.56
ENSG00000064687	ABCA7	11	0	11	9.86	15.43	5.57
ENSG00000104951	IL4I1	11	0	11	0.33	1.35	1.02
ENSG00000130589	HELZ2	11	0	11	7.83	7.87	0.04
ENSG00000183963	SMTN	11	0	11	50.29	56.42	6.13
ENSG00000169855	ROBO1	11	0	11	3.75	4.44	0.69
ENSG00000164093	PITX2	11	0	11	0.05	0.12	0.07
ENSG00000230590	FTX	11	0	11	0.2	2.42	2.22
ENSG00000050767	COL23A1	20	10	10	0.47	0.55	0.0800000000000001
ENSG00000100280	AP1B1	19	9	10	47.3	52.63	5.33000000000001
ENSG00000141337	ARSG	17	7	10	5.65	15.97	10.32
ENSG00000101040	ZMYND8	16	6	10	6.36	16.98	10.62
ENSG00000161996	WDR90	14	4	10	17.18	40.32	23.14
ENSG00000167491	GATAD2A	14	4	10	37.6	38.31	0.710000000000001
ENSG00000092758	COL9A3	14	4	10	12.6	21.34	8.74
ENSG00000164855	TMEM184A	14	4	10	13.82	21.87	8.05
ENSG00000151208	DLG5	13	3	10	21.16	23.08	1.92
ENSG00000140948	ZCCHC14	13	3	10	6.4	10.23	3.83
ENSG00000156170	NDUFAF6	13	3	10	5.62	11.67	6.05
ENSG00000120690	ELF1	12	2	10	6.49	10.45	3.96
ENSG00000090565	RAB11FIP3	12	2	10	6.06	8.95	2.89
ENSG00000161888	SPC24	12	2	10	32.77	41.02	8.25
ENSG00000136002	ARHGEF4	12	2	10	3.11	4.55	1.44
ENSG00000101191	DIDO1	12	2	10	16.17	17.8	1.63
ENSG00000205726	ITSN1	12	2	10	7.33	13.18	5.85
ENSG00000169760	NLGN1	12	2	10	2.6	5.69	3.09
ENSG00000206573	THUMPD3-AS1	12	2	10	3.42	6.41	2.99
ENSG00000145087	STXBP5L	12	2	10	6.67	15.94	9.27
ENSG00000114650	SCAP	12	2	10	30.8	38.45	7.65
ENSG00000172493	AFF1	12	2	10	6.51	10.27	3.76
ENSG00000105953	OGDH	12	2	10	56.26	88.31	32.05
ENSG00000058404	CAMK2B	12	2	10	1.71	1.86	0.15
ENSG00000187210	GCNT1	12	2	10	19.95	22.77	2.82
ENSG00000131697	NPHP4	11	1	10	4.93	5.82	0.890000000000001
ENSG00000143756	FBXO28	11	1	10	19.92	21.39	1.47
ENSG00000051825	MPHOSPH9	11	1	10	26.35	40.54	14.19
ENSG00000089094	KDM2B	11	1	10	8.06	13.12	5.06
ENSG00000151338	MIPOL1	11	1	10	4.62	7.94	3.32
ENSG00000157450	RNF111	11	1	10	19.62	22.79	3.17
ENSG00000167202	TBC1D2B	11	1	10	4.36	6.61	2.25
ENSG00000127527	EPS15L1	11	1	10	42.28	48.15	5.87
ENSG00000130749	ZC3H4	11	1	10	3	11.81	8.81
ENSG00000099822	HCN2	11	1	10	1.51	1.52	0.01
ENSG00000176619	LMNB2	11	1	10	31.4	56.57	25.17
ENSG00000171853	TRAPPC12	11	1	10	13.56	15.2	1.64
ENSG00000179242	CDH4	11	1	10	0.05	0.1	0.05
ENSG00000127946	HIP1	11	1	10	12.12	21.92	9.8
ENSG00000127948	POR	11	1	10	31.31	35.79	4.48
ENSG00000106018	VIPR2	11	1	10	0.06	0.34	0.28
ENSG00000127191	TRAF2	11	1	10	6.37	9.98	3.61
ENSG00000197530	MIB2	10	0	10	13.98	22.88	8.9
ENSG00000162415	ZSWIM5	10	0	10	0.15	0.68	0.53
ENSG00000135749	PCNX2	10	0	10	6.67	12.42	5.75
ENSG00000116213	WRAP73	10	0	10	7.35	11.73	4.38
ENSG00000235823	OLMALINC	10	0	10	4.01	9.58	5.57
ENSG00000120594	PLXDC2	10	0	10	6.54	8.95	2.41
ENSG00000177542	SLC25A22	10	0	10	40.28	45.96	5.68
ENSG00000050405	LIMA1	10	0	10	14.21	16.36	2.15
ENSG00000119661	DNAL1	10	0	10	4.74	5.53	0.79
ENSG00000166206	GABRB3	10	0	10	4	16.42	12.42
ENSG00000121101	TEX14	10	0	10	0.04	0.75	0.71
ENSG00000172992	DCAKD	10	0	10	16.24	16.87	0.630000000000003
ENSG00000066044	ELAVL1	10	0	10	56.57	60.74	4.17
ENSG00000232871	SEC1P	10	0	10	0.01	0.04	0.03
ENSG00000131409	LRRC4B	10	0	10	0.06	0.09	0.03
ENSG00000141837	CACNA1A	10	0	10	0.08	0.15	0.07
