ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0099111	microtubule-based transport	83/6417	143/17913	4.67996491107266e-08	3.82710288451534e-06	3.33172017214868e-06	AP3D1/SUN1/SPG7/DLG2/IFT140/SYNE2/WDR60/DST/AP3S2/DYNLL1/RHOT2/BICD2/HTT/ARHGAP21/FEZ1/KIF13A/IFT88/TERF2/MREG/BLOC1S5/TRIM46/DYNC2H1/IFT81/IFT43/MAP2/WDR34/IFT74/TUB/KIF3B/AP3B1/KIF1B/TRIP11/KLC3/TTC21B/SPAST/ICK/APBA1/TRAF3IP1/KIF1C/BLOC1S3/IFT172/HNRNPU/SFPQ/AP3M1/AP3B2/BLOC1S6/CLN3/CLUAP1/HAP1/TRAK2/COPG1/OPA1/IFT122/IFT80/UCHL1/TTC26/NEFL/VAMP7/HSPB11/TCTEX1D2/PURA/SSX2IP/SNAPIN/MAP1A/DYNLRB2/DYNLL2/UBB/IFT20/FLOT2/RAB27B/WDR35/TTC30B/RABL2B/IFT27/IFT57/BLOC1S4/AP3S1/WASF1/DTNBP1/IFT22/PCM1/RPGR/KIF4A	83
BP	GO:0006338	chromatin remodeling	89/6417	156/17913	4.76735804878444e-08	3.84793899651887e-06	3.34985924412194e-06	SMARCA4/PSME4/PBRM1/SMARCC1/CHD5/GATA3/RB1/ARID1B/ITGB3BP/CENPN/BPTF/CHD3/NASP/CHD8/SMARCA2/SATB2/MBD3/HELLS/BAZ1A/INO80E/RUVBL2/BAZ1B/SCMH1/CENPL/ZBTB1/CENPX/CENPP/MYSM1/RBBP4/MIS18BP1/HDAC1/CENPO/CENPM/NUDT5/TAF6L/FOXA1/INO80/OIP5/KNL1/CENPT/SOX9/PTMA/ACTL6A/CENPU/HIST1H4H/HDAC2/MYC/RUVBL1/SMCHD1/TOP1/KAT2B/TPR/H3F3A/CHD1L/CHEK1/HIST4H4/KAT2A/MBD2/CENPC/SMARCA5/SMARCAD1/CENPH/MYB/RNF8/CHD7/FOXP3/RBBP7/CHD4/PIH1D1/PADI2/CENPS/SUV39H2/MTA2/SMARCC2/SMARCD1/SMARCE1/CENPV/SUPT6H/MIS18A/SMARCB1/MORC2/CTNNB1/HIST1H4J/CENPQ/HIST1H4E/HIST1H4I/CBX3/CHRAC1/CENPI	89
BP	GO:0030705	cytoskeleton-dependent intracellular transport	88/6417	154/17913	5.11170819710216e-08	4.07298287756281e-06	3.54577329731513e-06	AP3D1/SUN1/SPG7/DLG2/IFT140/MYO1C/SYNE2/WDR60/DST/AP3S2/DYNLL1/TUBA1C/RHOT2/BICD2/HTT/ARHGAP21/FEZ1/KIF13A/IFT88/TERF2/MREG/BLOC1S5/TRIM46/DYNC2H1/IFT81/IFT43/MAP2/WDR34/IFT74/TUB/KIF3B/AP3B1/KIF1B/TRIP11/MYO19/KLC3/TTC21B/SPAST/ICK/APBA1/TRAF3IP1/KIF1C/BLOC1S3/IFT172/HNRNPU/SFPQ/AP3M1/TUBA1B/AP3B2/BLOC1S6/CLN3/CLUAP1/HAP1/TRAK2/COPG1/OPA1/IFT122/IFT80/UCHL1/TTC26/NEFL/VAMP7/HSPB11/TCTEX1D2/PURA/SSX2IP/SNAPIN/MAP1A/DYNLRB2/DYNLL2/UBB/IFT20/FLOT2/RAB27B/WDR35/TTC30B/RABL2B/IFT27/IFT57/BLOC1S4/AP3S1/WASF1/DTNBP1/TUBB/IFT22/PCM1/RPGR/KIF4A	88
BP	GO:0006457	protein folding	98/6417	176/17913	5.40021474725282e-08	4.24839679166788e-06	3.69848151910453e-06	TBCD/GAK/FKBP5/LTBP4/TBCE/CANX/PTGES3/CCT3/SGTA/DNAJC5/ENTPD5/DNAJC7/GANAB/SNRNP70/HSPA2/PDIA3/RUVBL2/HSPD1/PDCL3/ALG12/PPIL2/WFS1/GNAI1/CCT6A/HSP90AA1/MPDU1/FUT10/SELENOF/SACS/AMFR/CCT6B/CALR/DNAJB11/NGLY1/DNAJC1/CRYAB/PDIA2/ENGASE/RGS9/LMAN2L/UGGT1/PRDX4/SPHK1/HSPBP1/PDIA6/GNB4/TOR2A/DFFA/HSPA8/RIC3/CHORDC1/FKBP4/ERO1A/MESD/PPIL3/HSPE1/CCT7/RANBP2/MKKS/CCT8/ST13/DNAJC19/CHCHD4/GRPEL1/CCT5/TCP1/PPIL1/FKBP9/PDIA4/DNAJA1/VCP/TTC1/HSPA14/PPIB/ERO1B/GNAI3/DNAJC24/CCT2/HSP90B1/HSPH1/PDCD5/DNAJC10/MOGS/NPPC/PDRG1/FKBP1A/PPID/CLGN/DNAJC21/HSPA1L/HSPA1B/BAG2/DERL1/TOR1B/TOR1A/BAG1/VBP1/RP2	98
BP	GO:0051056	regulation of small GTPase mediated signal transduction	159/6417	316/17913	7.38442758954474e-08	5.73677718362757e-06	4.99420497503421e-06	RASA3/MCF2L/OBSCN/ABR/SIPA1L3/ARHGEF10/SPATA13/ARHGAP39/ARHGEF18/MYO9B/TSC2/DNM2/IQSEC1/AUTS2/RAP1GAP2/TRIO/ARFGEF3/ARHGAP10/PLEKHG4B/SRGAP3/RELN/ARHGEF3/ROBO1/ARHGEF4/ITSN1/TIAM1/RAP1GAP/ARHGEF37/ARHGEF1/ARHGAP45/ARHGAP8/DAB2IP/FAM13A/ARAP1/TIAM2/PLEKHG5/STARD13/MYO9A/RALBP1/NUP62/ABL1/ITPKB/CYTH1/MAPKAP1/RASGRF2/PRAG1/ARHGEF10L/GDI2/RHOT2/SGSM3/AKAP13/PSD/ARHGEF12/SRGAP1/RALGAPA1/GMIP/KANK2/SOS1/ARHGAP4/OPHN1/ARHGAP22/ARHGAP21/ARHGEF28/SYNGAP1/CHN2/MFN2/EPHB2/ARHGEF17/PLEKHG2/RALGAPA2/ARHGEF26/ARHGEF39/INPP5B/KITLG/CDC42SE2/RALGPS1/RDX/ITGA3/RASAL3/SYDE1/MAP4K4/STARD8/PLEKHG6/ARFGEF2/ARHGEF38/ARHGAP42/NF1/VAV3/ARHGEF19/ITGB1/NET1/RASGRF1/PLEKHG4/PSD4/PREX1/ECT2/F2RL1/RASA1/SH2B2/LYN/OGT/ARRB1/EPS8L2/ARHGAP23/KANK1/STMN3/ARHGAP17/CCDC125/STMN1/KIF14/ARHGEF11/TGFB2/RHOBTB1/ARHGAP12/DNMBP/ARHGAP32/ARHGAP1/MADD/ARHGEF25/ARHGAP11B/TNK1/STAMBP/LZTR1/ARHGAP31/ARAP2/FAM13B/CD2AP/ARHGAP18/ARFGEF1/ADRA1A/GARNL3/ARHGAP28/FARP2/RHOBTB2/ARHGDIG/MAPRE2/PDGFRB/RHOU/ARHGAP30/NOTCH2/SSX2IP/CSF1/FOXM1/IGF1/ARHGAP11A/APOE/ALS2/ITSN2/RHOQ/RASA2/DEPDC1B/F2R/DYNLT1/PREX2/FGD3/ARHGEF6/ARHGEF9/OCRL/FGD1	159
BP	GO:2000278	regulation of DNA biosynthetic process	65/6417	106/17913	7.64978584154218e-08	5.86955790187465e-06	5.10979846985403e-06	NVL/GRHL2/PARN/BMPR2/PINX1/ATR/SMOC2/PTGES3/SMG6/CCT3/MAPK1/NIBAN2/PNKP/ATM/TERF2/CCT6A/MAPK15/CHTF18/PDGFB/HSP90AA1/XRN1/SH2B1/CERS1/PPARG/HNRNPA2B1/TFDP1/RFC3/XRCC5/DCP2/PKIB/RFC2/MYC/PARP4/TEN1/HNRNPU/NEK7/CTC1/WRAP53/CCT7/CCT8/CCT5/DDX39B/MAP3K4/TCP1/HSP90AB1/PAK3/DKC1/GNL3L/TNKS2/MEN1/PDGFRB/SMG5/EXOSC10/RFC5/CCT2/RGCC/PIF1/NPPC/PARP3/CTNNB1/RFC4/FBXO4/POT1/TERF1/DSCC1	65
BP	GO:0010639	negative regulation of organelle organization	174/6417	352/17913	8.9213317461718e-08	6.76171668322655e-06	5.88647563226226e-06	MAD1L1/TBCD/BCOR/SKI/CTBP1/ATG7/TSC2/DNM2/AKT1/BMERB1/HIP1R/RTEL1/SHANK3/CLASP1/SPTBN5/LIMA1/TEX14/PINX1/SPTBN2/DNMT1/SMG6/TCHP/ARAP1/TMOD3/ANKRD27/BRCA1/ADD1/TRIOBP/ATM/NAV3/XRCC3/EVI5L/CENPF/CLEC16A/MLLT6/ATG5/UBR5/SET/FEZ1/PARP1/BNIP3/EPS8/TERF2/SLX4/CLASP2/TET1/SPHK2/SPTB/CARMIL2/XRN1/TMOD1/RBM14/RDX/CDK10/CCNF/PRKAR1A/BECN1/TRIM37/MAP2/PICK1/TRIP13/PHF8/BOK/PRKCD/CARMIL1/PSMG2/FHOD3/TRIM54/TRIP12/CHMP4B/SCFD1/ARPIN/NUBP1/XRCC1/SPTBN1/XRCC5/DCP2/PPP1R9A/HDAC6/KANK1/NOL3/CAPG/VIL1/CORO1A/TEN1/KLHL22/KAT2B/DMTN/SPTAN1/STMN1/HNRNPU/MUL1/TPR/H3F3A/NOC2L/ODF2L/PPIF/CHEK1/SPI1/ANAPC15/TIGAR/FKBP4/DNM1L/TBC1D4/CKAP2/CCP110/CTC1/KAT2A/TUBB4A/CLIP3/GEN1/MAPRE1/MKKS/HIGD1A/DYNC1LI1/SETMAR/VILL/PFN2/OPA1/KIAA1211/RAD1/MAK/FBXO5/ASF1A/FZD9/NBN/ARFGEF1/FXN/GNL3L/FOXP3/MCM2/TNKS2/APC/ACAA2/PIH1D1/TMEFF2/MAP6D1/TMEM14A/PINK1/OMA1/TACSTD2/KDM1A/PRMT6/EXOSC10/WASHC2C/WAPL/KDM4D/MDM1/ESPL1/IGF1/RGCC/CHMP4A/PIF1/PATL2/MPV17L/SUPT6H/NDC80/UCN/FEZ2/HTRA2/DNMT3B/SMARCB1/CEP97/NME6/MAD2L1/H2AFY/SPDL1/RAD50/POT1/MTBP/TMEM67/TERF1/NAA10/MTM1	174
BP	GO:2001022	positive regulation of response to DNA damage stimulus	58/6417	92/17913	9.48949921551279e-08	7.10569128004964e-06	6.18592593122838e-06	NACC2/SPIDR/ATR/PRKDC/SPRED2/BRCA1/BABAM2/ATM/SPIRE2/HIC1/EGFR/SHLD1/PARP1/DHX9/FUS/RNF168/NPAS2/PCNA/EEF1E1/PAXIP1/UBE2V2/PRKCD/HMGB1/DDX5/XRCC1/RIF1/CCAR2/MYC/SMCHD1/MSX1/SLF2/SHLD2/UBE2N/TIGAR/WRAP53/SETMAR/BCLAF1/RNF8/NSMCE1/DTX3L/FBH1/NSMCE4A/H2AFX/KDM4D/TIMELESS/DDX11/FOXM1/SPRED1/TRIM28/ACTR2/NUDT16/PARP3/PARP9/ABRAXAS1/SLF1/MRNIP/BRCC3/FMR1	58
BP	GO:0006397	mRNA processing	235/6417	499/17913	1.04615282784724e-07	7.74028550603644e-06	6.73837786357748e-06	THRAP3/RBFOX3/SSU72/PHRF1/ELAVL1/RSRC1/THOC2/SRPK2/CPSF1/SNRNP40/SF3B3/MTREX/PTBP1/HNRNPM/SETX/LSM4/CCAR1/CELF1/PRPF6/DHX15/DDX46/FAM172A/RBMX/POLR2F/TUT1/DDX39A/ZC3H11A/CLNS1A/NSRP1/HNRNPH1/SRRT/CSTF3/SYMPK/SNRNP70/DHX9/RBM23/FUS/SNRPD1/TXNL4A/U2AF2/KHSRP/SUGP1/RRP1B/MBNL1/ADARB1/MFAP1/USP4/USP49/RBM8A/SRSF11/TSEN54/SCAF1/SUGP2/IWS1/PNPT1/DDX1/PPP4R2/DHX36/CDC5L/SRSF3/LSM5/HNRNPA2B1/KHDRBS3/NONO/RBM10/RALY/PRMT7/CTNNBL1/PRPF19/AQR/BARD1/LINC01715/PPP1R8/PDCD11/PAN2/CPSF6/CPSF2/SRSF5/DHX38/TXNL4B/DDX5/RBM42/GEMIN7/GEMIN6/FASTKD5/SON/U2SURP/POLR2B/TENT4A/RBM27/SREK1/SYNCRIP/TBRG4/CCAR2/NCBP1/ALKBH5/NOL3/CTR9/DDX17/NCBP2/AHCYL1/HNRNPU/ZNF326/SCNM1/RNPC3/WDR77/PRPF38A/SFPQ/SF3A3/ADAR/CDC73/RBMXL1/HSPA8/GTF2H1/MAGOHB/SCAF11/RBM26/WBP4/PRMT5/METTL3/NOVA1/CELF6/SNRPA1/ESRP2/THOC6/CDK12/EFTUD2/NCBP3/POLR2A/CWC25/PPIL3/TIA1/HNRNPA3/SRSF6/TSEN2/POLR2H/TRA2B/REST/YTHDC1/GRSF1/GEMIN5/GTF2H4/DHX16/DDX39B/PRPF4B/PPIL1/GTF2H5/LSM2/SNRNP48/CDK13/WEE2-AS1/TRA2A/PRPF4/ELAVL2/SMU1/UPF3B/NCBP2L/THOC5/BCAS2/SNRPE/SF3B4/DNAJC8/KDM1A/HNRNPR/ZRANB2/TTF2/SRSF10/CDK11B/TSEN15/TARDBP/KIN/RBM17/HNRNPH3/POLR2G/SNRNP35/GTF2H3/WBP11/ZCRB1/GTF2F2/PABPN1/SNUPN/PDCD7/RBBP6/SNRNP25/SRSF1/SRSF2/ALYREF/EIF4A3/SUPT6H/C1QBP/GEMIN4/RNU6-2/GPATCH1/PAF1/CPSF3/PRPF40A/GCFC2/ERCC3/POLR2D/SNRNP27/HNRNPLL/SRSF7/CWC22/SNRPB2/CRNKL1/XRN2/U2AF1/RBM15B/THOC7/LSM6/PRMT9/FRG1/PTCD2/CCNH/PPWD1/THOC3/SF3B5/NELFE/SRPK1/RNGTT/CMTR1/RBM28/VIRMA/TGS1/TRUB2/PSIP1/RNF20/HNRNPK/CDK9/MBNL3/HTATSF1/HNRNPH2/GEMIN8/FMR1/RBMX2	235
BP	GO:0006270	DNA replication initiation	25/6417	30/17913	1.20907217616284e-07	8.84045126453185e-06	7.69613744331519e-06	POLA2/LRWD1/MCMDC2/POLE/POLA1/POLE2/TICRR/CDC6/MCM5/PRIM1/ORC2/MCM6/MCM3/MCM4/NBN/MCM2/PURA/CDK2/CCNE1/POLE4/GMNC/WRNIP1/MCM7/CCNE2/POLE3	25
BP	GO:0006400	tRNA modification	42/6417	61/17913	1.53629206265331e-07	1.11023897318492e-05	9.66528910898164e-06	NSUN6/PUS7/TRIT1/PRORP/WDR4/CDKAL1/ADAT3/TRMT61A/DUS1L/METTL8/DUS2/DUS3L/ANKRD16/PUS1/TYW5/TRMO/TRMT1/TRDMT1/BCDIN3D/ELP2/QTRT1/TRMT6/METTL6/DUS4L/URM1/TRMT10B/TRMT5/ELP6/METTL1/LCMT2/METTL2A/TPRKB/TRMT61B/SSB/OSGEPL1/MOCS3/TRMT10C/TRMT10A/NSUN2/METTL2B/HSD17B10/FTSJ1	42
BP	GO:0000819	sister chromatid segregation	88/6417	157/17913	1.6971435372398e-07	1.21238472229257e-05	1.05545284711586e-05	MAD1L1/TEX14/PINX1/TACC3/NUSAP1/RB1/NUP62/ATM/XRCC3/KPNB1/KIFC1/CENPF/CHMP6/NEK6/PDS5B/NCAPH/NCAPD2/PRC1/PDS5A/MAPK15/DIS3L2/KNSTRN/MCMBP/NCAPD3/CTCF/RMI2/RAD51C/BECN1/CDC27/TRIP13/SMC5/PSMG2/CHMP4B/INCENP/INO80/BUB1B/CDC6/SMC4/TENT4A/CHMP1A/KLHL22/NCAPH2/HNRNPU/TPR/KIF14/SFPQ/SMC3/SLF2/ANAPC15/DERPC/MIS12/SEH1L/SGO2/GEN1/DYNC1LI1/CENPE/FBXO5/RRS1/APC/ZWINT/WAPL/ZW10/FEN1/RAN/ESPL1/DDX11/CHAMP1/CHMP4A/SPAG5/VPS4B/NDC80/BUB1/CTNNB1/NAA50/SGO1/CHMP2B/MAD2L1/NCAPG/H2AFY/KIF4B/SLF1/SPDL1/CHMP7/DSCC1/SMC2/NAA10/SMC1A/KIF4A	88
BP	GO:0006661	phosphatidylinositol biosynthetic process	68/6417	114/17913	1.78250684544183e-07	1.24687122683855e-05	1.08547539585047e-05	PIP5K1C/PIK3CB/PIGQ/MTMR12/VAC14/INPP4B/ATM/PIK3C2A/PIGX/PI4K2B/PI4KA/PITPNM2/PIGG/PDGFB/INPP5E/PIK3R3/PIK3C2B/PGAP2/PLEKHA4/MTMR7/PITPNM3/PIK3R5/RAB4A/INPP5F/PLCG2/MPPE1/PIK3C3/SH3YL1/INPP4A/PIGU/PIK3R4/CDS1/MTMR9/HTR2C/PIP5K1B/ZP3/PLEKHA8/PI4KB/PLEKHA1/PIGS/PGAP1/PTPN13/PIK3R1/DPM2/PIP4K2A/AGAP2/PIKFYVE/PLEKHA2/PIGV/PIGM/PIGC/MTMR6/PIGH/PIGB/PIGW/PIP4K2B/PIGN/PIGF/PIGP/PIK3CA/SACM1L/PYURF/FIG4/IMPA1/PIGO/OCRL/MTM1/MTMR1	68
BP	GO:0032201	telomere maintenance via semi-conservative replication	23/6417	27/17913	1.78554367157893e-07	1.24687122683855e-05	1.08547539585047e-05	RTEL1/POLD1/POLA2/POLD3/TERF2/POLE/PCNA/RFC1/POLA1/RFC3/POLE2/RFC2/DNA2/PRIM1/RPA1/RPA2/FEN1/RFC5/POLE4/RFC4/POLD2/TERF1/POLE3	23
BP	GO:0044766	multi-organism transport	48/6417	73/17913	1.8489070742813e-07	1.25806509260577e-05	1.09522032027669e-05	NUP153/VPS37B/MVB12B/THOC2/NUP62/POM121/KPNB1/NUP88/NUP210/NUP58/POM121C/NUP93/NUP107/NUP43/KPNA1/AAAS/XPO1/EPS15/NDC1/NMT2/NUP37/KPNA3/NUP85/NUP205/NUP133/TPR/THOC6/SEH1L/RANBP2/RAE1/NUP155/DDX39B/TCP1/NUP42/NUP188/THOC5/NUP214/RAB29/RAN/UBB/ALYREF/NUP35/NUP50/THOC7/NUP54/THOC3/DYNLT1/FMR1	48
BP	GO:1902579	multi-organism localization	48/6417	73/17913	1.8489070742813e-07	1.25806509260577e-05	1.09522032027669e-05	NUP153/VPS37B/MVB12B/THOC2/NUP62/POM121/KPNB1/NUP88/NUP210/NUP58/POM121C/NUP93/NUP107/NUP43/KPNA1/AAAS/XPO1/EPS15/NDC1/NMT2/NUP37/KPNA3/NUP85/NUP205/NUP133/TPR/THOC6/SEH1L/RANBP2/RAE1/NUP155/DDX39B/TCP1/NUP42/NUP188/THOC5/NUP214/RAB29/RAN/UBB/ALYREF/NUP35/NUP50/THOC7/NUP54/THOC3/DYNLT1/FMR1	48
BP	GO:0010833	telomere maintenance via telomere lengthening	51/6417	79/17913	1.86230070023701e-07	1.25806509260577e-05	1.09522032027669e-05	PARN/RTEL1/PINX1/ATR/TERT/PTGES3/SMG6/CCT3/MAPK1/PNKP/ATM/PARP1/TERF2/SLX4/CCT6A/MAPK15/HSP90AA1/XRN1/DHX36/RFC1/HNRNPA2B1/TNKS1BP1/RAD51/XRCC5/DCP2/PKIB/TEN1/HNRNPU/NEK7/CTC1/WRAP53/CCT7/CCT8/CCT5/MAP3K4/TCP1/HSP90AB1/DKC1/GNL3L/TNKS2/SMG5/DCLRE1B/EXOSC10/CCT2/PIF1/CTNNB1/GAR1/FBXO4/RAD50/POT1/TERF1	51
BP	GO:1902749	regulation of cell cycle G2/M phase transition	108/6417	202/17913	1.99728885962644e-07	1.33474734006219e-05	1.16197676723032e-05	TAOK3/PCNT/SFI1/PSME4/CLASP1/RAD51B/PINX1/SDCCAG8/DYNLL1/CENPJ/BRCA1/CCND1/CEP72/NINL/BABAM2/ATM/PSMA1/CENPF/HAUS7/CDC14B/STOX1/HSPA2/PSMA6/TAOK2/DYNC1H1/HSP90AA1/CEP250/RAD51C/GTSE1/HMMR/PSMC2/YWHAG/AKAP9/PAXIP1/CKAP5/TUBA4A/PSMA5/PSMA3/TICRR/PSMD12/PSME3/CEP192/DONSON/FBXL7/FGFR1OP/CUL1/HAUS6/NAE1/DYRK3/KIF14/PSMD4/CLSPN/CDK1/CHEK1/CDK4/BLM/CCP110/CTC1/CDK5RAP3/PSMD11/CEP76/TUBB4A/PSMD1/ALMS1/PSMD14/DYNC1I2/MAPRE1/CEP135/FBXO5/CEP41/NBN/PSMD5/TUBB4B/PSMB2/PSMB7/OFD1/CDC7/ACTR1A/PSMC3/WNT10B/NEDD1/RNASEH2B/PSMC6/PSMA4/PSMC5/PSMD3/TUBG1/ATAD5/VPS4B/HAUS1/HAUS5/PSMC4/ATF5/PSMA7/PSMD2/PSMD6/ABRAXAS1/PLK4/H2AFY/MRNIP/PSMB8/PSMB1/TUBB/PCM1/PKIA/CNTRL/CEP78/BRCC3	108
BP	GO:0036297	interstrand cross-link repair	36/6417	50/17913	2.03546419361194e-07	1.34578829396789e-05	1.17158857280687e-05	FANCC/ERCC6L2/ATR/XRCC3/FANCA/POLN/SLX4/RNF168/CENPX/FANCI/RFWD3/FAAP100/FANCD2/MCM9/FAAP24/ATRIP/UBE2T/RAD51/MCM8/USP1/EXO5/FAN1/RAD51D/RPA1/RNF8/DCLRE1B/RPA2/CENPS/DCLRE1A/FANCF/RAD51AP1/UBB/EME1/FANCL/WDR48/FANCG	36
BP	GO:0098781	ncRNA transcription	63/6417	104/17913	2.28179411519176e-07	1.49277372904387e-05	1.29954811657459e-05	INTS1/BRF1/SMARCA4/GTF3C1/SNAPC4/POLR2F/IPPK/SRRT/RPRD2/CAVIN1/INTS7/NABP2/POLR1B/INTS11/RPAP2/GTF3A/INTS14/INTS2/RPRD1A/GTF3C2/POLR2B/GTF3C6/INTS9/SNAPC3/NCBP1/MTOR/NCBP2/PWP1/GTF2A2/ELL3/ICE2/NOL11/POLR2A/CD3EAP/NABP1/POLR2H/ELL2/TAF11/INTS8/SPIN1/GTF3C5/INTS5/NCL/SNAPC5/PIH1D1/RPRD1B/INTS3/TAF13/H2AFY2/NPM3/POLR2G/INTS4/DDX11/INTS13/GTF2F2/GTF2A1/POLR2D/ZC3H8/SMARCB1/GTF2E1/H2AFY/INTS10/CDK9	63
BP	GO:0009124	nucleoside monophosphate biosynthetic process	105/6417	196/17913	2.57701133290035e-07	1.66834639937247e-05	1.45239454507761e-05	PRKAG2/PFKL/ADK/TGFB1/NUP153/NCOR1/SLC25A12/PFKP/OGDH/AK4/UCKL1/NUP62/ENTPD5/ALDOA/POM121/PAICS/PFKFB3/INSR/ADSL/NUP88/NUP210/AK2/PARP1/LDHA/NUP58/GALK1/ATIC/POM121C/AK3/PGK1/HK1/NUP93/PFAS/SPHK2/HK2/CMPK1/ATP5F1B/NUP107/SHMT1/GPI/GART/ATP5PF/NUP43/SLC25A13/TK1/MLXIPL/AAAS/ATP5F1A/NDC1/ENO1/UQCC3/NUP37/ADPGK/NUP85/PFKFB4/NUP205/OGT/DHODH/PFKFB2/PKM/AK9/NUP133/TPR/ATP5PB/ATP5F1C/TIGAR/DMAC2L/SEH1L/DGUOK/RANBP2/RAE1/UMPS/NUP155/IMPDH1/NUP42/RFK/VCP/NUP188/APRT/NUP214/ADSS/PRKAA2/PINK1/PGM1/P2RX7/GPD1/TPI1/ENO2/IGF1/DUT/ENO3/ATP5MC1/CAD/NUP35/ATP5MC3/NUP50/IMPDH2/NUP54/ATPSCKMT/DNAJC30/PRXL2C/PFKFB1/HPRT1/UPRT/PRPS2	105
BP	GO:0006650	glycerophospholipid metabolic process	150/6417	300/17913	2.80633201128515e-07	1.79807767527187e-05	1.56533331937121e-05	PLCH2/PIP5K1C/AGPAT3/PIK3CB/OSBPL5/PTDSS2/ABHD12/LPCAT1/DGKQ/PIGQ/CPNE7/SCARB1/MTMR12/SELENOI/DGKZ/VAC14/TTC7B/INPP4B/ATM/PIK3C2A/PCYT1A/PIGX/OSBPL10/GPAT4/PI4K2B/PI4KA/PITPNM2/PLCB1/ABHD6/PIGG/PDGFB/INPP5B/INPP5E/PIK3R3/MBOAT2/HADHB/PIK3C2B/CHKA/PGAP2/PCYT2/ABHD3/PLEKHA4/MBOAT7/EFR3B/STARD7/MTMR7/SLC44A1/CAPN2/PITPNM3/AGPAT4/ACHE/PIK3R5/ACSL3/RAB4A/INPP5F/FAR1/DGKA/PLA2G4D/PLCG2/ALOX15/MPPE1/PIK3C3/SH3YL1/PLB1/INPP4A/PIGU/PIK3R4/ABHD5/CDS1/MTMR9/AGPAT5/HTR2C/SLC44A2/PIP5K1B/LPIN1/ZP3/PLEKHA8/BPNT1/PI4KB/GPAM/PLEKHA1/DDHD1/SMG1/PIGS/PGS1/PHOSPHO1/GALR2/IMPA2/PGAP1/DBI/SMPD4/INPP1/CDS2/TAMM41/LIPH/PTPN13/PIK3R1/AGK/FAM126A/PTDSS1/DPM2/PIP4K2A/AGAP2/PLA2G4B/LCLAT1/OSBPL8/AJUBA/PGAP3/PIKFYVE/PLSCR1/PDGFRB/AGPAT1/CPNE3/PLEKHA2/PIGV/PIGM/PIGC/GNPAT/ACP6/GPD1/MTMR6/PIGH/PIGB/LPCAT2/PLA2G15/PIGW/PIP4K2B/PIGN/TMEM86B/PIGF/LPIN3/CRLS1/PIGP/PLA2G3/PIK3CA/SACM1L/PYURF/ETNPPL/FIG4/PLA2G7/ALDH5A1/ABHD16A/NAPEPLD/EFR3A/IMPA1/IMPAD1/PIGO/OCRL/MTM1/MTMR1	150
BP	GO:0006364	rRNA processing	86/6417	154/17913	2.90427800271334e-07	1.84184569253708e-05	1.60343597571929e-05	NVL/BOP1/UTP4/ERI1/MTREX/TBL3/WDR43/DHX37/UTP6/IMP3/DDX21/THUMPD1/NOP58/SHQ1/MPHOSPH6/UTP11/GTPBP4/DIMT1/NOL6/EXOSC3/NOC4L/PELP1/UTP25/PDCD11/NOLC1/MRM3/FBL/YBEY/PES1/NOP14/WDR55/NSA2/BUD23/DDX51/DDX17/RRNAD1/BMS1/PA2G4/NOL11/SENP3/RBFA/EXOSC5/WDR12/WDR75/NOP56/RRP9/RIOK1/RRP36/GTF2H5/MRM2/CHD7/DCAF13/NOL8/REXO4/DKC1/LAS1L/SUV39H1/ISG20L2/HEATR1/NOL9/EXOSC10/NPM3/WBP11/FCF1/EXOSC6/FTSJ3/MRM1/UTP18/EIF4A3/GEMIN4/TRMT61B/IMP4/XRN2/RRP7A/NUDT16/ZCCHC4/UTP3/LYAR/EXOSC9/FRG1/GAR1/WDR36/WDR46/BYSL/DDX56/TEX10	86
