ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006612	protein targeting to membrane	48/2263	167/17913	2.16321114252469e-08	1.15063167226472e-05	1.08719472923825e-05	RPS3/RPL27A/RPS10/TAOK2/RPL37A/RPL10/KCNB1/PAK1/RPL4/MIEF2/RPL37/RPL22/RPL13/CHMP4B/CHP1/RPL9/TRAM2/DMTN/RPL5/RPLP0/C2CD5/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/RPL32/RPL30/STOM/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/TRAM1/RPS20/RPS6/RPL7A	48
BP	GO:0070972	protein localization to endoplasmic reticulum	40/2263	128/17913	2.52363587764484e-08	1.23048279334166e-05	1.16264347626234e-05	RPS3/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/CHMP4B/RPL9/TRAM2/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/TRAM1/RPS20/RPS6/RPL7A	40
BP	GO:0072331	signal transduction by p53 class mediator	61/2263	264/17913	1.63549468451502e-06	0.000736098415315185	0.000695515634256916	TAF4/WWOX/TP73/HIPK2/PPP1R13L/PHF20/CRADD/RAD9A/BCL3/BRCA1/PIDD1/TAF3/CARM1/RBL2/SHISA5/PML/TFAP4/BCL2L12/CNOT3/GTSE1/PAXIP1/BOK/ZNF385B/PDK2/DDX5/NOP53/EP300/FHIT/USP10/ZNF385A/FOXO3/NDRG1/MSX1/RPL5/DYRK3/TAF12/E2F2/PRKAG1/POU4F1/BLM/E2F4/RPL26/TAF4B/E2F1/RAD17/CSNK2B/TAF6/SNAI2/RBBP7/HINT1/PHLDA3/HIPK1/MTA2/TAF10/CDK2/RGCC/CDIP1/RPL23/BAX/SNAI1/PLK2	61
BP	GO:0006402	mRNA catabolic process	73/2263	338/17913	2.43026769120204e-06	0.00101567830437308	0.000959681647683694	SMG6/DHX34/RPS3/CTIF/RPL27A/RPS10/NANOS3/RPL37A/EIF3E/RPL10/DIS3L2/ZC3H12A/PKP3/XRN1/PATL1/RPL4/RNPS1/CNOT3/RPL37/RPL22/RPL13/SUPV3L1/ZFP36L1/DDX5/CASC3/RPL9/PABPC1/ZFP36/RPL5/RPLP0/METTL3/RPS17/RPLP1/RPS2/TOB1/RPL26/PSMB3/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/E2F1/RPL15/RPL14/DXO/RBM24/RPL35/TUT7/UPF3B/LARP1/RPL32/RPL30/NUP214/RPL12/TARDBP/SMG7/VIM/PRR5L/RPL41/APEX1/RPL23/RPL28/RPS19/RPS16/GTPBP1/RPL29/HNRNPA0/RPS20/RPS6/RPL7A/NBDY	73
BP	GO:0006401	RNA catabolic process	77/2263	368/17913	4.55729430386233e-06	0.00177764859812656	0.00167964278483403	SMG6/DHX34/RPS3/CTIF/RPL27A/RPS10/NANOS3/RPL37A/EIF3E/RPL10/DIS3L2/ZC3H12A/PKP3/XRN1/SND1/PATL1/RPL4/RNPS1/CNOT3/RPL37/RPL22/RPL13/SUPV3L1/SIDT2/ZFP36L1/DDX5/CASC3/RPL9/PABPC1/ZFP36/RPL5/RPLP0/METTL3/RPS17/ISG20/RPLP1/RPS2/TOB1/RPL26/PSMB3/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/E2F1/RPL15/RPL14/DROSHA/DXO/RBM24/RPL35/TUT7/UPF3B/LARP1/RPL32/RPL30/NUP214/RPL12/TARDBP/SMG7/VIM/PRR5L/RPL41/APEX1/RPL23/RPL28/RPS19/RPS16/GTPBP1/RPL29/HNRNPA0/RPS20/RPS6/RPL7A/NBDY	77
BP	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	24/2263	75/17913	9.58564774674396e-06	0.00350535156038743	0.00331209355038811	WWOX/TP73/HIPK2/BCL3/SHISA5/PML/BCL2L12/BOK/ZNF385B/PDK2/DDX5/EP300/FHIT/ZNF385A/MSX1/E2F2/POU4F1/RPL26/E2F1/HINT1/PHLDA3/HIPK1/CDIP1/BAX	24
BP	GO:0042770	signal transduction in response to DNA damage	35/2263	131/17913	1.01941730139185e-05	0.00350859448849632	0.00331515768848918	HIPK2/CRADD/BCL3/BRCA1/ABL1/PIDD1/CARM1/RBL2/PML/TFAP4/BABAM1/CNOT3/GTSE1/PAXIP1/DDX5/EP300/USP10/ZNF385A/PLK1/FOXO3/NDRG1/MSX1/DYRK3/E2F4/RPL26/E2F1/SNAI2/DTL/CDK2/RGCC/BAX/SNAI1/TREX1/ABRAXAS1/PLK2	35
BP	GO:0071158	positive regulation of cell cycle arrest	25/2263	82/17913	1.62680959534978e-05	0.00520482004576617	0.00491786647003462	TP73/CRADD/DAB2IP/BRCA1/PIDD1/CARM1/RBL2/ZBTB17/PML/CNOT3/MED25/GTSE1/UHRF2/EP300/ZNF385A/POU4F1/E2F4/RPL26/FAP/E2F1/CDK2/RGCC/RPL23/BAX/PLK2	25
BP	GO:0097193	intrinsic apoptotic signaling pathway	60/2263	277/17913	1.69016545666651e-05	0.00520482004576617	0.00491786647003462	WWOX/TP73/HIPK2/DAB2IP/RAD9A/BCL3/BRCA1/SOD2/ABL1/RPS3/SRC/RACK1/NCK2/PLEKHF1/SHISA5/SYVN1/WFS1/PML/APAF1/BCL2L12/BCL2L11/NONO/BOK/ZNF385B/ATP2A1/NFATC4/PDK2/DDX5/EIF2AK3/EP300/FHIT/ZNF385A/MAPK8IP1/CYP1B1/PLAGL2/MSX1/E2F2/POU4F1/MAPK7/RPL26/STK25/E2F1/CD24/IL20RA/GSDME/SNAI2/HINT1/HMOX1/PHLDA3/HIPK1/PTGS2/IFI6/IVNS1ABP/HYOU1/CDIP1/BAX/SNAI1/GPX1/SFRP2/VNN1	60
BP	GO:0007224	smoothened signaling pathway	34/2263	131/17913	2.62654144616004e-05	0.00768394700074121	0.00726031351328029	FBXL17/MGRN1/IFT140/HIPK2/ROR2/CENPJ/KIF7/SEPTIN2/GLI2/PTCH1/RUNX2/B9D1/GLIS2/DISP3/IFT81/MAP3K10/SHOX2/EVC/GLI3/GLI1/RORA/FOXA1/TMEM231/HHAT/IFT46/TULP3/DZIP1/DISP2/HIPK1/WNT10B/ULK3/STK36/SERPINE2/HES1	34
BP	GO:0030330	DNA damage response, signal transduction by p53 class mediator	29/2263	106/17913	3.527575811523e-05	0.00982849813010528	0.00928663065770366	HIPK2/CRADD/BCL3/BRCA1/PIDD1/CARM1/RBL2/PML/TFAP4/CNOT3/GTSE1/PAXIP1/DDX5/EP300/USP10/ZNF385A/FOXO3/NDRG1/MSX1/DYRK3/E2F4/RPL26/E2F1/SNAI2/CDK2/RGCC/BAX/SNAI1/PLK2	29
CC	GO:0022626	cytosolic ribosome	39/2352	95/18678	3.19353813600772e-12	2.12370286044513e-09	1.97327040614372e-09	RPS3/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/RPL9/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/FXR2/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/EIF2AK4/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/RPS20/RPS6/RPL7A	39
CC	GO:0022625	cytosolic large ribosomal subunit	27/2352	52/18678	8.64885791546641e-12	2.87574525689258e-09	2.67204189283094e-09	RPL27A/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/RPL9/RPL5/RPLP0/RPLP1/RPL26/FXR2/RPL17/RPL18/RPL18A/RPL15/RPL14/RPL35/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPL29/RPL7A	27
CC	GO:0005912	adherens junction	103/2352	496/18678	1.51142496315975e-07	2.98923451822619e-05	2.77749214435896e-05	PLEC/PIP5K1C/SHROOM3/TNK2/DNM2/SYNE2/PDLIM5/TLE2/ADD1/NIBAN2/GIT1/LCP1/CYTH1/NUMB/LIMK1/PRAG1/RPS3/FLII/SORBS3/SHROOM2/AHNAK/TNS3/NECTIN1/VCL/UBOX5/RPS10/EGFR/PTK2B/LMO7/CNN2/FBLN7/RPL37A/NF2/ENG/CD99L2/TPM4/PKP3/PAK1/ACTG1/SCARF2/PHLDB2/S100A11/CAPN1/FERMT2/RPL4/CD99/CDC42EP4/RPL22/LPXN/MMP14/CHP1/MYO1E/PPP1R9B/TGM2/RPL9/PABPC1/BCAR1/NDRG1/CD151/DAB2/CAV2/RPL5/PDLIM1/TRIM29/RPLP0/PKP2/EFNB2/RPS17/RPLP1/B2M/RPS2/FZD2/RPS11/RPL18/RPS15/FAP/ARHGAP31/EVL/CDC42EP1/NEDD9/FBLIM1/PPIB/ITGAV/PDGFRB/HMGA1/RPL30/NUP214/RPL12/RHOU/VIM/ARL14EP/RHOG/HYOU1/ARL2/MAPK3/RPL23/FLOT2/RPS19/CEACAM1/RPS16/FAT2/RPL7A/MSN	103
CC	GO:0044391	ribosomal subunit	47/2352	173/18678	1.79803580043681e-07	2.98923451822619e-05	2.77749214435896e-05	RPS3/RACK1/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/MRPL4/MPV17L2/RPL9/RPL5/RPLP0/MRPL57/RPS17/RPLP1/RPS2/RPL26/FXR2/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/MRPS26/RPL15/RPL14/MRPS30/MRPL2/RPL35/RPL32/RPL30/MRPS2/RPL12/MRPL37/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/RPS20/RPS6/RPL7A	47
CC	GO:0005925	focal adhesion	85/2352	397/18678	4.83592265208138e-07	5.18095361605366e-05	4.81396085892125e-05	PLEC/PIP5K1C/DNM2/SYNE2/TLE2/ADD1/GIT1/LCP1/NUMB/LIMK1/PRAG1/RPS3/FLII/SORBS3/AHNAK/TNS3/VCL/UBOX5/RPS10/EGFR/PTK2B/LMO7/CNN2/FBLN7/RPL37A/ENG/CD99L2/TPM4/PAK1/ACTG1/SCARF2/PHLDB2/CAPN1/FERMT2/RPL4/CD99/RPL22/LPXN/MMP14/CHP1/TGM2/RPL9/PABPC1/BCAR1/CD151/DAB2/CAV2/RPL5/PDLIM1/RPLP0/EFNB2/RPS17/RPLP1/B2M/RPS2/FZD2/RPS11/RPL18/RPS15/FAP/ARHGAP31/EVL/CDC42EP1/NEDD9/FBLIM1/PPIB/ITGAV/PDGFRB/HMGA1/RPL30/NUP214/RPL12/RHOU/VIM/ARL14EP/RHOG/HYOU1/ARL2/MAPK3/RPL23/FLOT2/RPS19/RPS16/RPL7A/MSN	85
CC	GO:0005924	cell-substrate adherens junction	85/2352	399/18678	6.03532650068034e-07	5.18095361605366e-05	4.81396085892125e-05	PLEC/PIP5K1C/DNM2/SYNE2/TLE2/ADD1/GIT1/LCP1/NUMB/LIMK1/PRAG1/RPS3/FLII/SORBS3/AHNAK/TNS3/VCL/UBOX5/RPS10/EGFR/PTK2B/LMO7/CNN2/FBLN7/RPL37A/ENG/CD99L2/TPM4/PAK1/ACTG1/SCARF2/PHLDB2/CAPN1/FERMT2/RPL4/CD99/RPL22/LPXN/MMP14/CHP1/TGM2/RPL9/PABPC1/BCAR1/CD151/DAB2/CAV2/RPL5/PDLIM1/RPLP0/EFNB2/RPS17/RPLP1/B2M/RPS2/FZD2/RPS11/RPL18/RPS15/FAP/ARHGAP31/EVL/CDC42EP1/NEDD9/FBLIM1/PPIB/ITGAV/PDGFRB/HMGA1/RPL30/NUP214/RPL12/RHOU/VIM/ARL14EP/RHOG/HYOU1/ARL2/MAPK3/RPL23/FLOT2/RPS19/RPS16/RPL7A/MSN	85
CC	GO:0044445	cytosolic part	52/2352	207/18678	6.07874619705216e-07	5.18095361605366e-05	4.81396085892125e-05	PFKL/RPS3/EIF4EBP1/RPL27A/RPS10/CYB5R3/RPL37A/RPL10/CIAO3/CASP8/APAF1/RPL4/RPL37/RPL22/RPL13/ENO4/RPL9/TSC1/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/FXR2/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/KXD1/RPL15/RPL14/RPL35/EIF2AK4/BORCS6/RPL32/RPL30/RPL12/UBQLN4/HPS1/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/RPS20/RPS6/RPL7A/UBL4A	52
CC	GO:0015934	large ribosomal subunit	33/2352	108/18678	6.78983081594361e-07	5.18095361605366e-05	4.81396085892125e-05	RPL27A/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/MRPL4/MPV17L2/RPL9/RPL5/RPLP0/MRPL57/RPLP1/RPL26/FXR2/RPL17/RPL18/RPL18A/RPL15/RPL14/MRPS30/MRPL2/RPL35/RPL32/RPL30/RPL12/MRPL37/RPL41/RPL23/RPL28/RPL29/RPL7A	33
CC	GO:0005667	transcription factor complex	63/2352	270/18678	7.0118169239824e-07	5.18095361605366e-05	4.81396085892125e-05	TAF4/CTBP1/WWOX/HIPK2/PITX2/GTF2E2/BCL9L/NCOA6/RUNX1/TAF3/TAF1D/SOX8/MEF2B/CARM1/RUNX2/MAX/SMAD3/TBX2/TLE3/PMF1/ALX4/TCF4/CREB1/NPAS2/HOXA9/MXD3/GTF2F1/NONO/RARG/ETS1/TEAD2/EP300/ATF6B/SIX1/DMBX1/RELA/FOXH1/TAF12/E2F2/PDLIM1/NAA16/GSC/E2F1/PKNOX1/RIOX2/HELT/GCM1/TAF6/GTF3C5/HMGA1/HOXA11/MED27/PYGO2/IVNS1ABP/MTA2/MED17/TAF10/CDK2/KLF5/APEX1/ATF5/SMAD1/KLF4	63
CC	GO:0030055	cell-substrate junction	85/2352	404/18678	1.03791165668942e-06	6.90211251698465e-05	6.41320149975463e-05	PLEC/PIP5K1C/DNM2/SYNE2/TLE2/ADD1/GIT1/LCP1/NUMB/LIMK1/PRAG1/RPS3/FLII/SORBS3/AHNAK/TNS3/VCL/UBOX5/RPS10/EGFR/PTK2B/LMO7/CNN2/FBLN7/RPL37A/ENG/CD99L2/TPM4/PAK1/ACTG1/SCARF2/PHLDB2/CAPN1/FERMT2/RPL4/CD99/RPL22/LPXN/MMP14/CHP1/TGM2/RPL9/PABPC1/BCAR1/CD151/DAB2/CAV2/RPL5/PDLIM1/RPLP0/EFNB2/RPS17/RPLP1/B2M/RPS2/FZD2/RPS11/RPL18/RPS15/FAP/ARHGAP31/EVL/CDC42EP1/NEDD9/FBLIM1/PPIB/ITGAV/PDGFRB/HMGA1/RPL30/NUP214/RPL12/RHOU/VIM/ARL14EP/RHOG/HYOU1/ARL2/MAPK3/RPL23/FLOT2/RPS19/RPS16/RPL7A/MSN	85
CC	GO:0005840	ribosome	54/2352	252/18678	5.45659442740459e-05	0.0032987593583855	0.00306509179797751	EEF2/RPS3/RACK1/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/MRPL4/MPV17L2/MTG2/RPL9/RPL5/SF1/RPLP0/MRPL57/RPS17/RPLP1/RPS2/RPL26/FXR2/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/MRPS26/RPL15/RPL14/MRPS30/MRPL2/RPL35/EIF2AK4/LARP1/GCN1/RPL32/RPL30/MRPS2/RPL12/MRPL37/RPL41/APEX1/RPL23/RPL28/RPS19/RPS16/RPL29/RPS20/RPS6/RPL7A	54
CC	GO:0098984	neuron to neuron synapse	63/2352	315/18678	0.000118768142203919	0.00658173454713384	0.00611551749769302	PRKAR1B/PRR12/PSD3/DLG2/DNM2/HIP1R/SHANK3/SH3GL1/NLGN1/PDLIM5/TIAM1/MAP4/CHRM3/PTCH1/RPS3/MINK1/ADORA2A/NECTIN1/SRC/NCK2/SOS1/ARFGAP1/PTK2B/DLGAP3/KLHL17/SYNPO/CNKSR2/LRFN3/MAP2/LIN7A/RUSC1/CNIH2/CLSTN3/DCLK1/TANC2/TMEM108/BSN/TSC1/SYT7/SLC6A9/BACE1/PHB2/LRFN1/IGSF11/DMTN/SRGAP2/RPLP0/EFNB2/CPEB1/MPP2/RPL18A/RPL14/DROSHA/SHARPIN/PRRT2/RPL30/RPL12/SYT9/DYNLL2/RPL23/RPS19/BCAS1/SLITRK3	63
MF	GO:0003712	transcription coregulator activity	103/2268	494/16969	2.02389006488168e-06	0.00191257611131319	0.00185558762790731	PRDM16/BICRA/RERE/MTA1/ARHGAP35/TAF4/CTBP1/NUP98/WWOX/WWC1/ARID5B/HIPK2/PPP1R13L/SS18L1/BCL9L/ATN1/ARID1A/TLE2/TRERF1/BRCA1/ASXL1/MXD4/ABL1/NIBAN2/PEX14/ZNF653/NCOA6/MED15/HDAC7/NRL/NR2F2/MRTFA/PER2/CARM1/SRCAP/MAX/SMAD3/MRTFB/PRMT2/MAML3/ZFPM2/TGIF1/PMF1/DDX54/WBP2/SIRT6/RRP1B/MNT/CREB1/SND1/LPIN2/GTF2F1/NFKBIB/DYRK1B/MAP3K10/ERF/FEV/ZMIZ2/KCTD1/LPXN/KLF7/NFATC4/CRYM/EP300/SIAH2/CITED1/IRF2BP1/TAF12/PDLIM1/SF1/POU4F1/SUPT20H/HSF4/RELB/SIX3/GTF2A1L/SOX12/RIOX2/UBP1/MAK/MED22/FOXP3/SLC26A3/NR1D1/HMGA1/MED27/ELK4/CITED4/PCBD1/MED17/DRAP1/SMARCC2/SMARCD1/APEX1/ARL2BP/SRSF2/ZBTB32/ATF5/SCAND1/PARP9/CASP8AP2/DAXX/UXT	103
